Attributes,WebsiteCount
type,722
class,607
name,553
value,512
autocomplete,310
id,299
maxlength,253
aria-label,210
autocapitalize,200
autocorrect,196
aria-autocomplete,186
placeholder,184
spellcheck,183
role,182
aria-haspopup,176
data-ved,176
jsaction,176
title,176
data-zjs,64
data-zjs-campaign,64
required,40
aria-hidden,33
data-test-id,32
data-artdeco-is-focused,26
data-ga-label,24
aria-controls,23
aria-describedby,20
tabindex,19
data-action,12
data-controller,12
data-s-popover-placement,12
aria-labelledby,11
data-testid,11
dir,11
data-uia,9
minlength,9
data-rapid_p,8
data-ylk,8
size,8
checked,7
data-focus-visible-added,7
data-id,6
aria-invalid,5
data-v-69f686f3,4
node-type,4
data-name,3
data-pattern-error-message,3
data-tl-id,3
pattern,3
style,3
aria-required,3
aria-checked,3
aria-expanded,3
data-csrf,2
ng-attr-placeholder,2
ng-class,2
ng-disabled,2
ng-model,2
ng-trim,2
rbx-form-interaction,2
rbx-form-validation,2
disabled,2
data-focusable,2
data-autocomplete,2
seed,2
ui-form-explain,2
data-spm-anchor-id,2
aria-owns,2
data-m,2
data-optanongroupid,2
ng-click,1
rbx-form-validation-redact-input,1
rbx-valid-password,1
ng-change,1
ng-model-options,1
rbx-valid-username,1
send-input-value,1
data-automation-id,1
data-trim,1
data-error,1
autofocus,1
onkeypress,1
data,1
render,1
max-length,1
readonly,1
data-category-id,1
hidden,1
onpaste,1
data-zone,1
validate,1
